YJコード,品名,成分名,規格,薬価,経過措置期限
1121001X1018,ブロモバレリル尿素,ブロモバレリル尿素,１ｇ,7.5,
1123001X1012,抱水クロラール,抱水クロラール,１ｇ,36.9,
1124001B1039,ユーロジン散１％,エスタゾラム,１％１ｇ,36,
1124001F1022,ユーロジン１ｍｇ錠,エスタゾラム,１ｍｇ１錠,6.3,
1124001F1030,エスタゾラム錠１ｍｇ「アメル」,エスタゾラム,１ｍｇ１錠,6.3,
1124001F2029,ユーロジン２ｍｇ錠,エスタゾラム,２ｍｇ１錠,7.4,
1124001F2037,エスタゾラム錠２ｍｇ「アメル」,エスタゾラム,２ｍｇ１錠,6.3,
1124002M2022,ダルメートカプセル１５,フルラゼパム塩酸塩,１５ｍｇ１カプセル,6.3,
1124003C1017,ニトラゼパム１％細粒,ニトラゼパム,１％１ｇ,16.2,
1124003C1092,ベンザリン細粒１％,ニトラゼパム,１％１ｇ,21.1,
1124003F1021,ベンザリン錠２,ニトラゼパム,２ｍｇ１錠,7.9,
1124003F2010,ニトラゼパム５ｍｇ錠,ニトラゼパム,５ｍｇ１錠,6.3,
1124003F2222,ベンザリン錠５,ニトラゼパム,５ｍｇ１錠,7.2,
1124003F3016,ニトラゼパム１０ｍｇ錠,ニトラゼパム,１０ｍｇ１錠,6.3,
1124003F3121,ベンザリン錠１０,ニトラゼパム,１０ｍｇ１錠,11.7,
1124007F1011,トリアゾラム０．１２５ｍｇ錠,トリアゾラム,０．１２５ｍｇ１錠,6.1,
1124007F1020,ハルシオン０．１２５ｍｇ錠,トリアゾラム,０．１２５ｍｇ１錠,6.3,
1124007F2018,トリアゾラム０．２５ｍｇ錠,トリアゾラム,０．２５ｍｇ１錠,6.3,
1124007F2026,ハルシオン０．２５ｍｇ錠,トリアゾラム,０．２５ｍｇ１錠,6.4,
1124008F1016,フルニトラゼパム１ｍｇ錠,フルニトラゼパム,１ｍｇ１錠,6.1,
1124008F1024,サイレース錠１ｍｇ,フルニトラゼパム,１ｍｇ１錠,6.4,
1124008F2012,フルニトラゼパム２ｍｇ錠,フルニトラゼパム,２ｍｇ１錠,6.3,
1124008F2020,サイレース錠２ｍｇ,フルニトラゼパム,２ｍｇ１錠,7.4,
1124009F1010,ブロチゾラム０．２５ｍｇ錠,ブロチゾラム,０．２５ｍｇ１錠,10.8,
1124009F1223,レンドルミン錠０．２５ｍｇ,ブロチゾラム,０．２５ｍｇ１錠,10.8,
1124009F2017,ブロチゾラム０．２５ｍｇ口腔内崩壊錠,ブロチゾラム,０．２５ｍｇ１錠,10.8,
1124009F2025,レンドルミンＤ錠０．２５ｍｇ,ブロチゾラム,０．２５ｍｇ１錠,10.8,
1124010F1021,エバミール錠１．０,ロルメタゼパム,１ｍｇ１錠,9.5,
1124010F1030,ロラメット錠１．０,ロルメタゼパム,１ｍｇ１錠,12.5,
1124013B1031,セレナール散１０％,オキサゾラム,１０％１ｇ,22.5,
1124013F1033,セレナール錠５,オキサゾラム,５ｍｇ１錠,6.3,
